Type,Qualifier,Name,Systematic_Name,Chromosome,Start,End
ORF,Verified,PHOsphate metabolism,YBR296C,chrII,796798,798522
CDS,,,,chrII,796798,798522
ORF,Verified,Tiny Yeast Comet 1,YBR296C-A,chrII,800123,800242
CDS,,,,chrII,800123,800242
ORF,Verified,MALtose,YBR297W,chrII,800523,801929
CDS,,,,chrII,800523,801929
ORF,Verified,MALtose fermentation,YBR298C,chrII,802631,804475
CDS,,,,chrII,802631,804475
ORF,Uncharacterized,,YBR298C-A,chrII,805035,805256
CDS,,,,chrII,805035,805256
ORF,Verified,MALtose,YBR299W,chrII,805351,807105
CDS,,,,chrII,805351,807105
ORF,Dubious,,YBR300C,chrII,808600,809097
CDS,,,,chrII,808600,809097
ORF,Verified,seriPAUperin family,YBR301W,chrII,809057,809419
CDS,,,,chrII,809057,809419
ORF,Verified,COnserved Sequence,YBR302C,chrII,810340,811479
CDS,,,,chrII,810340,811479
telomere,,,TEL02R,chrII,812379,813184
X_element,,,,chrII,812379,812848
X_element_combinatorial_repeat,,,,chrII,812849,813137
telomeric_repeat,,,,chrII,813138,813184
telomere,,,TEL03L,chrIII,1,1098
telomeric_repeat,,,,chrIII,1,360
X_element_combinatorial_repeat,,,,chrIII,361,639
X_element,,,,chrIII,640,1098
ARS,,Autonomously Replicating Sequence,ARS300,chrIII,989,1068
ARS_consensus_sequence,,,,chrIII,1050,1060
long terminal repeat,,,YCLWomega1,chrIII,1179,1429
LTR retrotransposon,,,YCLWTy5-1,chrIII,1179,4322
ORF,Dubious,,YCL076W,chrIII,1392,2135
CDS,,,,chrIII,1392,2135
pseudogene,,,YCL075W,chrIII,2126,2566
CDS,,,,chrIII,2126,2566
pseudogene,,,YCL074W,chrIII,2824,3750
CDS,,,,chrIII,2824,3750
long terminal repeat,,,YCLWomega2,chrIII,4073,4322
ORF,Verified,Glutathione EXchanger,YCL073C,chrIII,6479,8326
CDS,,,,chrIII,6479,8326
ORF,Verified,Vacuolar Basic Amino acid transporter,YCL069W,chrIII,9706,11082
CDS,,,,chrIII,9706,11082
ARS,,Autonomously Replicating Sequence,ARS301,chrIII,11146,11401
silent mating type cassette array,,,HML,chrIII,11146,14849
ARS_consensus_sequence,,,,chrIII,11257,11267
ORF,Uncharacterized,,YCL068C,chrIII,11503,12285
CDS,,,,chrIII,11503,12285
W_region,,,,chrIII,11509,12238
X_region,,,,chrIII,12239,12943
ORF,Verified,Hidden Mat Left ALPHA,YCL067C,chrIII,12386,13018
CDS,,,,chrIII,12386,13018
Y_region,,,,chrIII,12944,13690
ORF,Verified,Hidden Mat Left ALPHA,YCL066W,chrIII,13282,13809
CDS,,,,chrIII,13282,13809
Z1_region,,,,chrIII,13691,13929
ORF,Dubious,,YCL065W,chrIII,13751,14119
CDS,,,,chrIII,13751,14119
Z2_region,,,,chrIII,13930,14017
ARS,,Autonomously Replicating Sequence,ARS302,chrIII,14575,14849
ARS_consensus_sequence,,,,chrIII,14701,14711
ARS,,,ARS303,chrIII,14871,15213
ARS_consensus_sequence,,,,chrIII,15186,15196
ARS,,,ARS320,chrIII,15214,16274
ARS_consensus_sequence,,,,chrIII,15298,15308
ORF,Verified,Catabolism of Hydroxy Amino acids,YCL064C,chrIII,15798,16880
CDS,,,,chrIII,15798,16880
ORF,Verified,VACuole related,YCL063W,chrIII,17290,18561
CDS,,,,chrIII,17290,18561
ORF,Verified,Mediator of the Replication Checkpoint,YCL061C,chrIII,18816,22106
CDS,,,,chrIII,18816,22106
ORF,Verified,contains KRR-R motif,YCL059C,chrIII,22429,23379
CDS,,,,chrIII,22429,23379
ORF,Verified,Function required for Yeast Viability,YCL058C,chrIII,23523,23981
CDS,,,,chrIII,23523,23981
ORF,Verified,Antisense of Depressing Factor,YCL058W-A,chrIII,23584,23925
CDS,,,,chrIII,23584,23925
ORF,Verified,MItochondrial contact site and Cristae organizing system,YCL057C-A,chrIII,24032,24325
CDS,,,,chrIII,24032,24325
ORF,Verified,PRoteinase yscD,YCL057W,chrIII,24768,26906
CDS,,,,chrIII,24768,26906
ORF,Verified,PEroXin,YCL056C,chrIII,26925,27359
CDS,,,,chrIII,26925,27359
ORF,Verified,KARyogamy,YCL055W,chrIII,27929,28936
CDS,,,,chrIII,27929,28936
recombination enhancer,,Recombination Enhancer,RE301,chrIII,29108,29809
ARS,,,ARS304,chrIII,30200,30657
ARS_consensus_sequence,,,,chrIII,30429,30439
ORF,Uncharacterized,Ribosomally Detected Transcript,YCL054W-A,chrIII,30910,30996
CDS,,,,chrIII,30910,30996
ORF,Verified,Suppressor of PaB1 mutant,YCL054W,chrIII,31449,33974
CDS,,,,chrIII,31449,33974
ORF,Verified,Protease B Non-derepressible,YCL052C,chrIII,34143,35393
CDS,,,,chrIII,34143,35393
ORF,Verified,Laminarase REsistance,YCL051W,chrIII,35865,37616
CDS,,,,chrIII,35865,37616
ORF,Verified,AP4A phosphorylase,YCL050C,chrIII,37836,38801
CDS,,,,chrIII,37836,38801
ARS,,Autonomously Replicating Sequence,ARS305,chrIII,39508,39595
ARS_consensus_sequence,,,,chrIII,39579,39589
ORF,Uncharacterized,,YCL049C,chrIII,39786,40724
CDS,,,,chrIII,39786,40724
ORF,Uncharacterized,,YCL048W-A,chrIII,41488,41727
CDS,,,,chrIII,41488,41727
ORF,Verified,SPorulation Specific 2 too (2),YCL048W,chrIII,42165,43556
CDS,,,,chrIII,42165,43556
ORF,Verified,Promoter Of Filamentation,YCL047C,chrIII,43661,44437
CDS,,,,chrIII,43661,44437
ORF,Verified,ER Membrane protein Complex,YCL045C,chrIII,44623,46905
CDS,,,,chrIII,44623,46905
ORF,Dubious,,YCL046W,chrIII,46640,46963
CDS,,,,chrIII,46640,46963
ORF,Verified,Mitochondrial Genome Required,YCL044C,chrIII,47111,48364
CDS,,,,chrIII,47111,48364
ORF,Verified,Protein Disulfide Isomerase,YCL043C,chrIII,48653,50221
CDS,,,,chrIII,48653,50221
ORF,Dubious,,YCL041C,chrIII,50133,50627
CDS,,,,chrIII,50133,50627
ORF,Uncharacterized,,YCL042W,chrIII,50584,50943
CDS,,,,chrIII,50584,50943
ORF,Verified,GLucoKinase,YCL040W,chrIII,50838,52340
CDS,,,,chrIII,50838,52340
ORF,Verified,Glucose Induced Degradation deficient,YCL039W,chrIII,52645,54882
CDS,,,,chrIII,52645,54882
ORF,Verified,AuTophaGy related,YCL038C,chrIII,54941,56527
CDS,,,,chrIII,54941,56527
ORF,Verified,Suppressor of rho3,YCL037C,chrIII,57374,58678
CDS,,,,chrIII,57374,58678
ORF,Verified,Great for Full DEAD box protein activity,YCL036W,chrIII,59026,60726
CDS,,,,chrIII,59026,60726
ORF,Verified,GlutaRedoXin,YCL035C,chrIII,60841,61173
CDS,,,,chrIII,60841,61173
ORF,Verified,Las Seventeen Binding protein,YCL034W,chrIII,61658,62722
CDS,,,,chrIII,61658,62722
ORF,Verified,peptide Methionine sulfoXide Reductase,YCL033C,chrIII,62776,63282
CDS,,,,chrIII,62776,63282
ORF,Verified,STErile,YCL032W,chrIII,63441,64481
CDS,,,,chrIII,63441,64481
ORF,Verified,Ribosomal RNA Processing,YCL031C,chrIII,64675,65568
CDS,,,,chrIII,64675,65568
ORF,Verified,HIStidine requiring,YCL030C,chrIII,65934,68333
CDS,,,,chrIII,65934,68333
ORF,Verified,BIlateral Karyogamy defect,YCL029C,chrIII,68599,69921
CDS,,,,chrIII,68599,69921
ORF,Verified,Rich in asparagine (N) and glutamine (Q),YCL028W,chrIII,70150,71367
CDS,,,,chrIII,70150,71367
ORF,Verified,cell FUSion,YCL027W,chrIII,71803,73341
CDS,,,,chrIII,71803,73341
ORF,Verified,Homologous to Bacterial Nitroreductases,YCL026C-B,chrIII,73405,73986
CDS,,,,chrIII,73405,73986
ARS,,,ARS306,chrIII,74458,74677
ARS_consensus_sequence,,,,chrIII,74521,74531
ORF,Verified,Fatty acid Repression Mutant,YCL026C-A,chrIII,74704,75285
CDS,,,,chrIII,74704,75285
ORF,Verified,high-Affinity Glutamine Permease,YCL025C,chrIII,76018,77919
CDS,,,,chrIII,76018,77919
ORF,Dubious,,YCL023C,chrIII,78949,79296
CDS,,,,chrIII,78949,79296
ORF,Verified,,YCL024W,chrIII,79162,82275
CDS,,,,chrIII,79162,82275
ORF,Dubious,,YCL022C,chrIII,81570,82085
CDS,,,,chrIII,81570,82085
tRNA gene,,,YNCC0001C,chrIII,82462,82533
noncoding_exon,,,,chrIII,82462,82533
long terminal repeat,,,YCLWdelta15,chrIII,82700,83036
long terminal repeat,,,YCLCdelta1,chrIII,83055,83194
ORF,Uncharacterized,,YCL021W-A,chrIII,83620,83997
CDS,,,,chrIII,83620,83997
long terminal repeat,,,YCLWdelta2a,chrIII,84069,84294
long terminal repeat,,,YCLWdelta3,chrIII,84295,84626
long terminal repeat,,,YCLWdelta2b,chrIII,84630,84718
long terminal repeat,,,YCLWdelta4,chrIII,84811,85142
LTR retrotransposon,,,YCLWTy2-1,chrIII,84811,90769
transposable element gene,,,YCL019W,chrIII,85102,90415
CDS,,,,chrIII,85102,86391
transposable element gene,,,YCL020W,chrIII,85102,86418
CDS,,,,chrIII,85102,86418
plus_1_translational_frameshift,,,,chrIII,86392,86392
CDS,,,,chrIII,86393,90415
long terminal repeat,,,YCLWdelta5,chrIII,90438,90769
tRNA gene,,SUPpressor,YNCC0002W,chrIII,90859,90972
noncoding_exon,,,,chrIII,90859,90896
intron,,,,chrIII,90897,90928
noncoding_exon,,,,chrIII,90929,90972
ORF,Verified,LEUcine biosynthesis,YCL018W,chrIII,91324,92418
CDS,,,,chrIII,91324,92418
ORF,Verified,NiFS-like,YCL017C,chrIII,92777,94270
CDS,,,,chrIII,92777,94270
ORF,Verified,Defective in sister Chromatid Cohesion,YCL016C,chrIII,94621,95763
CDS,,,,chrIII,94621,95763
ORF,Verified,BUD site selection,YCL014W,chrIII,96281,101191
CDS,,,,chrIII,96281,101191
ORF,Verified,,YCL012C,chrIII,101317,101788
CDS,,,,chrIII,101317,101633
intron,,,,chrIII,101634,101700
CDS,,,,chrIII,101701,101788
ORF,Verified,G-strand Binding Protein,YCL011C,chrIII,102075,103358
CDS,,,,chrIII,102075,103358
ORF,Verified,SaGa associated Factor,YCL010C,chrIII,103571,104350
CDS,,,,chrIII,103571,104350
ORF,Verified,IsoLeucine Valine,YCL009C,chrIII,104619,105548
CDS,,,,chrIII,104619,105548
ORF,Verified,STerile Pseudoreversion,YCL008C,chrIII,105696,106853
CDS,,,,chrIII,105696,106853
ORF,Dubious,,YCL007C,chrIII,106974,107366
CDS,,,,chrIII,106974,107366
ORF,Verified,Vacuolar Membrane Atpase,YCL005W-A,chrIII,107023,107417
CDS,,,,chrIII,107023,107033
intron,,,,chrIII,107034,107110
CDS,,,,chrIII,107111,107191
intron,,,,chrIII,107192,107287
CDS,,,,chrIII,107288,107417
snoRNA gene,,Small Nucleolar RNA,YNCC0003C,chrIII,107504,107712
noncoding_exon,,,,chrIII,107504,107712
ORF,Verified,Low Dye Binding,YCL005W,chrIII,108021,108791
CDS,,,,chrIII,108021,108791
ARS,,,ARS307,chrIII,108727,109060
ARS_consensus_sequence,,,,chrIII,108960,108970
ORF,Verified,PhosphatidylGlycerolphosphate Synthase,YCL004W,chrIII,109105,110670
CDS,,,,chrIII,109105,110670
ORF,Uncharacterized,,YCL002C,chrIII,110808,111675
CDS,,,,chrIII,110808,111557
intron,,,,chrIII,111558,111633
CDS,,,,chrIII,111634,111675
ORF,Verified,Retention in the Endoplasmic Reticulum,YCL001W,chrIII,111916,112482
CDS,,,,chrIII,111916,112482
ORF,Uncharacterized,,YCL001W-A,chrIII,113080,113541
CDS,,,,chrIII,113080,113541
ORF,Uncharacterized,,YCL001W-B,chrIII,113770,114024
CDS,,,,chrIII,113770,114024
ARS,,,ARS308,chrIII,114321,114939
centromere,,,CEN3,chrIII,114385,114501
centromere_DNA_Element_I,,,,chrIII,114385,114394
centromere_DNA_Element_II,,,,chrIII,114395,114476
centromere_DNA_Element_III,,,,chrIII,114477,114501
ORF,Uncharacterized,,YCR001W,chrIII,115685,115999
CDS,,,,chrIII,115685,115999
ORF,Verified,Cell Division Cycle,YCR002C,chrIII,117380,118348
CDS,,,,chrIII,117380,118348
ORF,Verified,"Mitochondrial Ribosomal Protein, Large subunit",YCR003W,chrIII,118620,119171
CDS,,,,chrIII,118620,119171
ORF,Verified,,YCR004C,chrIII,119575,120318
CDS,,,,chrIII,119575,120318
ORF,Verified,CITrate synthase,YCR005C,chrIII,120946,122328
CDS,,,,chrIII,120946,122328
ORF,Uncharacterized,,YCR006C,chrIII,122530,123003
CDS,,,,chrIII,122530,123003
tRNA gene,,SUppression of Frameshift mutation,YNCC0004C,chrIII,123577,123648
noncoding_exon,,,,chrIII,123577,123648
long terminal repeat,,,YCRCdelta6,chrIII,124134,124465
ORF,Uncharacterized,,YCR007C,chrIII,126011,126730
CDS,,,,chrIII,126011,126730
tRNA gene,,,YNCC0005W,chrIII,127716,127789
noncoding_exon,,,,chrIII,127716,127789
ORF,Verified,,YCR008W,chrIII,128470,130281
CDS,,,,chrIII,128470,130281
ORF,Verified,Reduced Viability on Starvation,YCR009C,chrIII,130745,131542
CDS,,,,chrIII,130745,131542
ARS,,,ARS309,chrIII,132043,132120
ARS_consensus_sequence,,,,chrIII,132046,132056
ORF,Verified,Accumulation of DYads,YCR010C,chrIII,132273,133124
CDS,,,,chrIII,132273,133124
ORF,Verified,ATP-Dependent Permease,YCR011C,chrIII,133724,136873
CDS,,,,chrIII,133724,136873
ORF,Verified,3-PhosphoGlycerate Kinase,YCR012W,chrIII,137746,138996
CDS,,,,chrIII,137746,138996
ORF,Dubious,,YCR013C,chrIII,138402,139049
CDS,,,,chrIII,138402,139049
ORF,Verified,POLymerase,YCR014C,chrIII,139185,140933
CDS,,,,chrIII,139185,140933
ORF,Verified,Cold TOlerance,YCR015C,chrIII,141217,142170
CDS,,,,chrIII,141217,142170
snoRNA gene,,Small Nucleolar RNA,YNCC0006C,chrIII,142364,142546
noncoding_exon,,,,chrIII,142364,142546
tRNA gene,,SUppression of Frameshift mutation,YNCC0007C,chrIII,142701,142771
noncoding_exon,,,,chrIII,142701,142771
long terminal repeat,,,YCRCdelta7,chrIII,142758,143080
ORF,Uncharacterized,,YCR016W,chrIII,143634,144506
CDS,,,,chrIII,143634,144506
ORF,Verified,Calcofluor White Hypersensitive,YCR017C,chrIII,144773,147634
CDS,,,,chrIII,144773,147634
ORF,Verified,,YCR018C,chrIII,148238,148903
CDS,,,,chrIII,148238,148903
long terminal repeat,,,YCRWdelta8,chrIII,149482,149809
tRNA gene,,,YNCC0008W,chrIII,149920,149991
noncoding_exon,,,,chrIII,149920,149991
long terminal repeat,,,YCRWdelta9,chrIII,150220,150551
long terminal repeat,,,YCRCtau1,chrIII,150695,151055
tRNA gene,,,YNCC0009C,chrIII,151284,151356
noncoding_exon,,,,chrIII,151284,151356
long terminal repeat,,,YCRWdelta10,chrIII,151521,151851
ORF,Dubious,,YCR018C-A,chrIII,151608,151862
CDS,,,,chrIII,151608,151862
ORF,Verified,MAintenance of Killer,YCR019W,chrIII,152837,153928
CDS,,,,chrIII,152837,153928
ORF,Verified,PETite colonies,YCR020C,chrIII,154012,154659
CDS,,,,chrIII,154012,154659
ORF,Verified,MAintenance of Killer,YCR020C-A,chrIII,154830,155096
CDS,,,,chrIII,154830,155096
ORF,Verified,High-Temperature Lethal,YCR020W-B,chrIII,155320,155556
CDS,,,,chrIII,155320,155556
ORF,Verified,Heat Shock Protein,YCR021C,chrIII,156109,157107
CDS,,,,chrIII,156109,157107
ORF,Uncharacterized,,YCR022C,chrIII,157421,157765
CDS,,,,chrIII,157421,157765
ORF,Verified,,YCR023C,chrIII,158538,160373
CDS,,,,chrIII,158538,160373
ORF,Verified,Synthetic Lethal with Mss4,YCR024C,chrIII,160744,162222
CDS,,,,chrIII,160744,162222
ORF,Uncharacterized,,YCR024C-B,chrIII,162599,162865
CDS,,,,chrIII,162599,162865
ORF,Verified,Plasma Membrane Proteolipid,YCR024C-A,chrIII,162945,163067
CDS,,,,chrIII,162945,163067
ORF,Uncharacterized,,YCR025C,chrIII,163446,163856
CDS,,,,chrIII,163446,163856
ORF,Verified,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,YCR026C,chrIII,164111,166339
CDS,,,,chrIII,164111,166339
ARS,,,ARS310,chrIII,166503,167348
ARS_consensus_sequence,,,,chrIII,166663,166673
ARS_consensus_sequence,,,,chrIII,166700,166710
ARS_consensus_sequence,,,,chrIII,166756,166766
ORF,Verified,RHeB homolog,YCR027C,chrIII,167370,167999
CDS,,,,chrIII,167370,167999
tRNA gene,,,YNCC0010C,chrIII,168301,168372
noncoding_exon,,,,chrIII,168301,168372
long terminal repeat,,,YCRWdelta11,chrIII,169573,169888
ORF,Verified,FENpropimorph resistance,YCR028C,chrIII,170886,172424
CDS,,,,chrIII,170886,172424
ORF,Verified,Replication In Mitochondria,YCR028C-A,chrIII,172950,173440
CDS,,,,chrIII,172950,173115
intron,,,,chrIII,173116,173198
CDS,,,,chrIII,173199,173440
ORF,Verified,Suppressor of Yeast Profilin deletion,YCR030C,chrIII,173826,176438
CDS,,,,chrIII,173826,176438
snoRNA gene,,Small Nucleolar RNA,YNCC0011W,chrIII,177183,177282
noncoding_exon,,,,chrIII,177183,177282
ORF,Verified,Ribosomal Protein of the Small subunit,YCR031C,chrIII,177500,178220
CDS,,,,chrIII,177500,177906
intron,,,,chrIII,177907,178213
CDS,,,,chrIII,178214,178220
snoRNA gene,,Small Nucleolar RNA,YNCC0012C,chrIII,178610,178798
noncoding_exon,,,,chrIII,178610,178798
ORF,Verified,Beige Protein Homolog,YCR032W,chrIII,179520,186023
CDS,,,,chrIII,179520,186023
ORF,Verified,SaNT domains,YCR033W,chrIII,186489,190169
CDS,,,,chrIII,186489,190169
ORF,Verified,fatty acid ELOngation,YCR034W,chrIII,190592,191635
CDS,,,,chrIII,190592,191635
ORF,Verified,Ribosomal RNA Processing,YCR035C,chrIII,191834,193018
CDS,,,,chrIII,191834,193018
ORF,Verified,RiBoKinase,YCR036W,chrIII,193297,194298
CDS,,,,chrIII,193297,194298
ARS,,,ARS313,chrIII,194308,194367
ORF,Verified,PHOsphate metabolism,YCR037C,chrIII,194414,197185
CDS,,,,chrIII,194414,197185
ARS,,,ARS314,chrIII,197460,197598
ARS_consensus_sequence,,,,chrIII,197536,197552
ORF,Verified,BUD site selection,YCR038C,chrIII,197621,199549
CDS,,,,chrIII,197621,199549
mating type region,,,MATALPHA,chrIII,198671,201177
W_region,,,,chrIII,198671,199400
ORF,Dubious,,YCR038W-A,chrIII,199293,199418
CDS,,,,chrIII,199293,199418
X_region,,,,chrIII,199401,200103
ORF,Verified,MATing type protein ALPHA,YCR039C,chrIII,199546,200178
CDS,,,,chrIII,199546,200178
Y_region,,,,chrIII,200104,200850
ORF,Verified,MATing type protein ALPHA,YCR040W,chrIII,200442,200969
CDS,,,,chrIII,200442,200969
Z1_region,,,,chrIII,200851,201089
ORF,Verified,,YCR041W,chrIII,200911,201243
CDS,,,,chrIII,200911,201243
Z2_region,,,,chrIII,201090,201177
ORF,Verified,TATA binding protein-Associated Factor,YCR042C,chrIII,201174,205397
CDS,,,,chrIII,201174,205397
ORF,Uncharacterized,,YCR043C,chrIII,206261,206644
CDS,,,,chrIII,206261,206644
ORF,Verified,protein Processing in the ER,YCR044C,chrIII,206877,207950
CDS,,,,chrIII,206877,207950
ORF,Verified,Regulator of rDNA Transcription,YCR045C,chrIII,208135,209610
CDS,,,,chrIII,208135,209610
ORF,Dubious,,YCR045W-A,chrIII,208751,209101
CDS,,,,chrIII,208751,209101
ORF,Verified,Integrity of Mitochondrial Genome,YCR046C,chrIII,209914,210423
CDS,,,,chrIII,209914,210423
ORF,Verified,BUD site selection,YCR047C,chrIII,210718,211545
CDS,,,,chrIII,210718,211545
ORF,Dubious,,YCR047W-A,chrIII,211301,211507
CDS,,,,chrIII,211301,211507
ORF,Dubious,,YCR049C,chrIII,211871,212317
CDS,,,,chrIII,211871,212317
ORF,Verified,Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme,YCR048W,chrIII,211929,213761
CDS,,,,chrIII,211929,213761
ORF,Uncharacterized,,YCR050C,chrIII,213464,213772
CDS,,,,chrIII,213464,213772
ORF,Uncharacterized,,YCR051W,chrIII,214071,214739
CDS,,,,chrIII,214071,214739
ORF,Verified,Remodel the Structure of Chromatin,YCR052W,chrIII,214994,216445
CDS,,,,chrIII,214994,216445
ORF,Verified,THReonine requiring,YCR053W,chrIII,216697,218241
CDS,,,,chrIII,216697,218241
ORF,Verified,Copper TRansport protein,YCR054C,chrIII,218376,220067
CDS,,,,chrIII,218376,220067
ORF,Verified,Periodic tryptophan (W) Protein,YCR057C,chrIII,220457,223228
CDS,,,,chrIII,220457,223228
ORF,Verified,Yeast Impact Homolog,YCR059C,chrIII,223454,224230
CDS,,,,chrIII,223454,224230
ORF,Verified,Tpr-containing protein Associated with Hsp90,YCR060W,chrIII,224399,224734
CDS,,,,chrIII,224399,224734
ARS,,Autonomously Replicating Sequence,ARS315,chrIII,224816,225061
ARS_consensus_sequence,,,,chrIII,224853,224869
ORF,Verified,Transmembrane protein Vital for Stress response,YCR061W,chrIII,225563,227458
CDS,,,,chrIII,225563,227458
tRNA gene,,SUPpressor,YNCC0013W,chrIII,227942,228042
noncoding_exon,,,,chrIII,227942,227978
intron,,,,chrIII,227979,227997
noncoding_exon,,,,chrIII,227998,228042
ORF,Dubious,,YCR064C,chrIII,228095,228505
CDS,,,,chrIII,228095,228505
ORF,Verified,BUD site selection,YCR063W,chrIII,228318,228791
CDS,,,,chrIII,228318,228791
ORF,Verified,High-Copy suppressor of Calmodulin,YCR065W,chrIII,229310,231004
CDS,,,,chrIII,229310,231004
ORF,Verified,RADiation sensitive,YCR066W,chrIII,231500,232963
CDS,,,,chrIII,231500,232963
ORF,Verified,Suppressor of Erd2 Deletion,YCR067C,chrIII,233125,236322
CDS,,,,chrIII,233125,236322
ORF,Verified,AuTophaGy related,YCR068W,chrIII,237214,238776
CDS,,,,chrIII,237214,238776
ORF,Verified,Cyclosporin-sensitive Proline Rotamase,YCR069W,chrIII,239055,240011
CDS,,,,chrIII,239055,240011
ORF,Verified,Integrity of Mitochondrial Genome,YCR071C,chrIII,240103,240543
CDS,,,,chrIII,240103,240543
ORF,Verified,RiboSome Assembly,YCR072C,chrIII,240805,242352
CDS,,,,chrIII,240805,242352
ORF,Verified,Suppressor of Sensor Kinase,YCR073C,chrIII,242588,246583
CDS,,,,chrIII,242588,246583
ORF,Verified,Suppressor Of Los1-1,YCR073W-A,chrIII,246963,247910
CDS,,,,chrIII,246963,247910
ORF,Verified,ERd Suppressor,YCR075C,chrIII,248033,248815
CDS,,,,chrIII,248033,248815
ORF,Verified,Exit from rapamycin-induced GrOwth arrest,YCR075W-A,chrIII,248975,249202
CDS,,,,chrIII,248975,249202
ORF,Verified,FUnction of Boundary,YCR076C,chrIII,249293,250045
CDS,,,,chrIII,249293,250045
ORF,Verified,Protein Associated with Topoisomerase II,YCR077C,chrIII,250238,252628
CDS,,,,chrIII,250238,252628
ORF,Verified,Phosphatase Two C,YCR079W,chrIII,252845,254173
CDS,,,,chrIII,252845,254173
ORF,Verified,Suppressor of RNA polymerase B,YCR081W,chrIII,254371,258654
CDS,,,,chrIII,254371,258654
ORF,Dubious,,YCR081C-A,chrIII,258415,258651
CDS,,,,chrIII,258415,258651
ORF,Verified,Ada Histone acetyltransferase complex Component,YCR082W,chrIII,258883,259269
CDS,,,,chrIII,258883,259269
ORF,Verified,ThioRedoXin,YCR083W,chrIII,259578,259961
CDS,,,,chrIII,259578,259961
ORF,Verified,dTMP-UPtake,YCR084C,chrIII,260311,262452
CDS,,,,chrIII,260311,262452
ORF,Uncharacterized,,YCR085W,chrIII,262916,263269
CDS,,,,chrIII,262916,263269
ORF,Verified,Chromosome Segregation in Meiosis,YCR086W,chrIII,263392,263964
CDS,,,,chrIII,263392,263964
ORF,Dubious,,YCR087W,chrIII,263976,264491
CDS,,,,chrIII,263976,264491
ORF,Uncharacterized,,YCR087C-A,chrIII,264006,264467
CDS,,,,chrIII,264006,264467
ORF,Verified,Actin Binding Protein,YCR088W,chrIII,265068,266846
CDS,,,,chrIII,265068,266846
ORF,Verified,Factor-Induced Gene,YCR089W,chrIII,267434,272263
CDS,,,,chrIII,267434,272263
ORF,Uncharacterized,,YCR090C,chrIII,272315,272863
CDS,,,,chrIII,272315,272863
ARS,,Autonomously Replicating Sequence,ARS316,chrIII,272852,273095
ARS_consensus_sequence,,,,chrIII,273008,273024
ORF,Verified,protein KINase,YCR091W,chrIII,274404,276566
CDS,,,,chrIII,274404,276566
ORF,Verified,MutS Homolog,YCR092C,chrIII,276764,279820
CDS,,,,chrIII,276764,279820
ORF,Verified,Cell Division Cycle,YCR093W,chrIII,280117,286443
CDS,,,,chrIII,280117,286443
ORF,Verified,Cell Division Cycle,YCR094W,chrIII,286762,287937
CDS,,,,chrIII,286762,287937
ORF,Uncharacterized,Oxidant-induced Cell-cycle Arrest,YCR095C,chrIII,288170,289258
CDS,,,,chrIII,288170,289258
ORF,Uncharacterized,,YCR095W-A,chrIII,289639,289797
CDS,,,,chrIII,289639,289797
long terminal repeat,,,YCRWdelta12,chrIII,291373,291712
long terminal repeat,,,YCRWomega3,chrIII,291922,292167
silent mating type cassette array,,,HMR,chrIII,292388,295034
ARS,,Autonomously Replicating Sequence,ARS317,chrIII,292638,292694
ARS_consensus_sequence,,,,chrIII,292674,292684
X_region,,,,chrIII,293032,293736
ORF,Verified,Hidden Mat Right A,YCR096C,chrIII,293179,293538
CDS,,,,chrIII,293179,293538
Y_region,,,,chrIII,293737,294378
ORF,Verified,Hidden Mat Right A,YCR097W,chrIII,293835,294321
CDS,,,,chrIII,293835,293939
intron,,,,chrIII,293940,293993
CDS,,,,chrIII,293994,294239
intron,,,,chrIII,294240,294291
CDS,,,,chrIII,294292,294321
Z1_region,,,,chrIII,294379,294617
ORF,Dubious,,YCR097W-A,chrIII,294439,294705
CDS,,,,chrIII,294439,294705
ARS,,Autonomously Replicating Sequence,ARS318,chrIII,294820,294901
ARS_consensus_sequence,,,,chrIII,294824,294834
long terminal repeat,,,YCRWdelta13,chrIII,295003,295330
tRNA gene,,,YNCC0014W,chrIII,295484,295556
noncoding_exon,,,,chrIII,295484,295556
long terminal repeat,,,YCRCdelta14,chrIII,295958,296190
ORF,Verified,GlycerophosphoInosiTol,YCR098C,chrIII,297049,298605
CDS,,,,chrIII,297049,298605
ORF,Uncharacterized,,YCR099C,chrIII,300832,301299
CDS,,,,chrIII,300832,301299
ORF,Uncharacterized,Efficient Mitochondria targeting-Associated protein,YCR100C,chrIII,301271,302221
CDS,,,,chrIII,301271,302221
ORF,Uncharacterized,,YCR101C,chrIII,302482,303030
CDS,,,,chrIII,302482,303030
ORF,Uncharacterized,,YCR102C,chrIII,304361,305467
CDS,,,,chrIII,304361,305467
ORF,Dubious,,YCR102W-A,chrIII,306735,306932
CDS,,,,chrIII,306735,306932
ORF,Verified,seriPAUperin family,YCR104W,chrIII,307801,308175
CDS,,,,chrIII,307801,308175
ORF,Verified,Alcohol DeHydrogenase,YCR105W,chrIII,309070,310155
CDS,,,,chrIII,309070,310155
ORF,Verified,Regulator of Drug Sensitivity,YCR106W,chrIII,310958,313456
CDS,,,,chrIII,310958,313456
ORF,Verified,Aryl-Alcohol Dehydrogenase,YCR107W,chrIII,313890,314981
CDS,,,,chrIII,313890,314981
telomere,,,TEL03R,chrIII,315783,316620
X_element,,,,chrIII,315783,316239
ARS,,Autonomously Replicating Sequence,ARS319,chrIII,315807,315879
