,Systematic name,RNA pol II  presence (per gene),TR indirect (mol/hour),TR (mol/hour)
1711,YER023C-A,,,
1712,YER023W,,10.188,
1713,YER024W,0.1792,0.654,5.82
1714,YER025W,0.2627,25.488,14.934000000000001
1715,YER026C,0.0634,10.05,6.8759999999999994
1716,YER027C,0.0957,14.154,6.8759999999999994
1717,YER028C,0.0454,,3.45
1718,YER029C,0.0643,,9.803999999999998
1719,YER030W,0.0659,19.404,12.87
1720,YER031C,0.0576,,7.722
1721,YER032W,0.1006,1.8059999999999998,3.444
1722,YER033C,,,
1723,YER034W,0.0509,1.512,8.22
1724,YER035W,0.3929,4.716,80.922
1725,YER036C,0.7581,41.802,37.242000000000004
1726,YER037W,0.0716,,6.672
1727,YER038C,0.035,,2.262
1728,YER038W-A,,,
1729,YER039C,0.0511,,6.132
1730,YER039C-A,0.0091,,3.7620000000000005
1731,YER040W,0.1008,0.9480000000000001,4.140000000000001
1732,YER041W,,,
1733,YER042W,0.019,8.706,3.078
1734,YER043C,0.3235,8.82,21.582
1735,YER044C,0.0338,,6.816000000000001
1736,YER044C-A,,,
1737,YER045C,,1.9500000000000002,
1738,YER046W,0.0268,,5.604
1739,YER046W-A,,,
1740,YER047C,0.1973,,6.593999999999999
1741,YER048C,0.1467,38.315999999999995,11.232000000000001
1742,YER048W-A,,,
1743,YER049W,0.3776,10.158000000000001,17.573999999999998
1744,YER050C,0.0396,16.626,8.58
1745,YER051W,0.0497,2.568,3.024
1746,YER052C,0.2106,,11.97
1747,YER053C,0.0537,,5.3580000000000005
1748,YER053C-A,,,
1749,YER054C,,,
1750,YER055C,0.1408,78.12,14.19
1751,YER056C,,27.588,
1752,YER056C-A,0.2834,67.91999999999999,33.467999999999996
1753,YER057C,0.0295,7.992000000000001,6.828
1754,YER058W,0.0283,,7.872000000000001
1755,YER059W,0.0708,6.005999999999999,5.045999999999999
1756,YER060W,0.1148,,6.516
1757,YER060W-A,0.0595,1.542,3.36
1758,YER061C,0.0562,4.212,3.81
1759,YER062C,,59.268,
1760,YER063W,0.0553,5.045999999999999,7.577999999999999
1761,YER064C,0.164,4.134,9.732000000000001
1762,YER065C,0.1072,,5.766
1763,YER066C-A,,,
1764,YER066W,0.029,0.7140000000000001,4.68
1765,YER067C-A,,,
1766,YER067W,0.0258,,4.794
1767,YER068C-A,,,
1768,YER068W,0.2293,4.938,11.706
1769,YER069W,0.1323,1.818,4.596
1770,YER070W,0.9456,18.791999999999998,31.926000000000002
1771,YER071C,,4.83,
1772,YER072W,0.0529,,12.246
1773,YER073W,0.2338,,13.47
1774,YER074W,,155.262,
1775,YER074W-A,0.0198,,3.7920000000000003
1776,YER075C,,0.44999999999999996,
1777,YER076C,0.0333,0.084,3.3
1778,YER076W-A,0.0114,,2.9579999999999997
1779,YER077C,0.1326,2.088,5.778
1780,YER078C,,2.016,
1781,YER078W-A,,,
1782,YER079C-A,0.0126,,3.36
1783,YER079W,0.0317,,4.5120000000000005
1784,YER080W,0.1453,2.952,6.948
1785,YER081W,0.2414,,15.42
1786,YER082C,0.3267,4.752000000000001,17.669999999999998
1787,YER083C,,21.474,
1788,YER084W,,0.402,
1789,YER084W-A,,,
1790,YER085C,,,
1791,YER086W,0.1419,10.908,7.38
1792,YER087C-A,,,
1793,YER087C-B,,,
1794,YER087W,0.1249,,6.497999999999999
1795,YER088C,0.2392,11.208,10.697999999999999
1796,YER088C-A,,,
1797,YER088W-B,,,
1798,YER089C,0.2132,,13.764
1799,YER090C-A,,,
1800,YER090W,0.0597,6.978,3.528
1801,YER091C,,42.714,
1802,YER091C-A,,,
1803,YER092W,0.0546,,13.044
1804,YER093C,0.3015,,6.324
1805,YER093C-A,,1.374,
1806,YER094C,0.1299,,18.942
1807,YER095W,0.0563,,4.212
1808,YER096W,,0.06,
1809,YER097W,,,
1810,YER098W,0.0404,1.0739999999999998,1.602
1811,YER099C,0.0855,19.986,8.052000000000001
1812,YER100W,0.0765,6.726,9.156
1813,YER101C,0.0401,,2.79
1814,YER102W,0.1115,241.548,16.674
1815,YER103W,0.1018,,4.752000000000001
1816,YER104W,0.0254,0.276,3.648
1817,YER105C,0.2773,3.384,5.976
1818,YER106W,,,
1819,YER107C,,,
1820,YER107W-A,,,
1821,YER109C,0.1142,0.762,4.284000000000001
1822,YER110C,0.1026,5.064,2.766
1823,YER111C,,,
1824,YER112W,0.0611,16.968,9.762
1825,YER113C,0.1407,,5.976
1826,YER114C,0.1224,1.308,3.528
1827,YER115C,0.0422,1.824,6.6
1828,YER116C,0.0414,1.0799999999999998,4.518000000000001
1829,YER117W,0.3742,62.778,38.094
1830,YER118C,,10.728,
1831,YER119C,0.0363,,2.43
1832,YER119C-A,,,
1833,YER120W,0.093,40.572,11.4
1834,YER121W,,0.6599999999999999,
1835,YER122C,,4.506,
1836,YER123W,0.1302,,7.446
1837,YER124C,1.2929,16.332,67.614
1838,YER125W,0.348,3.846,12.894
1839,YER126C,0.1184,4.667999999999999,13.572000000000001
1840,YER127W,,7.176,
1841,YER128W,0.0319,,4.6979999999999995
1842,YER129W,0.2989,,7.848
1843,YER130C,0.3779,9.102,25.554
1844,YER131W,0.0955,138.636,23.94
1845,YER132C,,,
1846,YER133W,0.3078,20.142,18.936
1847,YER133W-A,,,
1848,YER134C,0.0291,,4.884
1849,YER135C,,0.084,
1850,YER136W,,11.55,
1851,YER137C,0.0318,0.828,6.414
1852,YER137W-A,,,
1853,YER138W-A,,,
1854,YER139C,0.0406,1.482,5.37
1855,YER140W,0.1126,,6.072
1856,YER141W,0.0876,2.97,5.3999999999999995
1857,YER142C,0.0351,1.0139999999999998,3.552
1858,YER143W,0.1151,4.295999999999999,8.058
1859,YER144C,,1.848,
1860,YER145C,0.1355,8.766,10.044
1861,YER145C-A,,,
1862,YER146W,0.0537,,17.202
1863,YER147C,0.2097,1.374,10.068
1864,YER147C-A,0.0552,,12.113999999999999
1865,YER148W,0.086,42.474,10.716000000000001
1866,YER148W-A,,,
1867,YER149C,0.0823,,5.868
1868,YER150W,0.0154,,3.114
1869,YER151C,,,
1870,YER152C,0.1754,22.374000000000002,11.861999999999998
1871,YER152W-A,,,
1872,YER153C,,,
1873,YER154W,0.1419,17.022000000000002,10.572
1874,YER155C,0.8609,,11.916
1875,YER156C,0.3072,20.406000000000002,27.21
1876,YER157W,0.1374,1.962,5.1419999999999995
1877,YER158C,0.1034,,5.412
1878,YER158W-A,,,
1879,YER159C,0.203,,42.678000000000004
1880,YER161C,0.1161,1.4640000000000002,10.44
1881,YER162C,0.1302,1.1580000000000001,5.178
1882,YER163C,0.0465,7.218,5.994
1883,YER164W,0.2525,2.214,5.159999999999999
1884,YER165C-A,,,
1885,YER165W,0.7255,55.716,37.68
1886,YER166W,,,
1887,YER167W,0.3665,12.852,12.906
1888,YER168C,0.0809,6.63,4.4399999999999995
1889,YER169W,0.2186,1.548,8.232
1890,YER170W,0.0322,3.114,4.2780000000000005
1891,YER171W,,14.537999999999998,
1892,YER172C,,,
1893,YER172C-A,,,
1894,YER173W,0.0969,0.912,4.41
1895,YER174C,0.054,3.954,6.617999999999999
1896,YER175C,0.0256,0.864,2.5620000000000003
1897,YER175W-A,,,
1898,YER176W,0.4109,3.786,10.992
1899,YER177W,0.4473,68.874,50.13
1900,YER178W,0.122,20.268,8.7
1901,YER179W,0.0193,0.21,1.5899999999999999
1902,YER180C,0.0911,1.3559999999999999,10.206
1903,YER180C-A,,,
1904,YER181C,,0.048,
1905,YER182W,0.0349,,4.284000000000001
1906,YER183C,0.0397,,5.628
1907,YER184C,,0.684,
1908,YER185W,0.007,,0.69
1909,YER186C,,,
1910,YER187W,0.0316,,6.684
1911,YER188C-A,,,
1912,YER188W,,,
1913,YER189W,,,
1914,YER190C-A,,,
1915,YER190C-B,,,
1916,YER190W,,,
1917,YFL001W,0.1019,,6.906
1918,YFL002C,,,
1919,YFL003C,0.2052,,7.008
1920,YFL004W,0.4466,23.663999999999998,16.17
1921,YFL005W,0.0897,,12.474
1922,YFL007W,0.3004,,4.2059999999999995
1923,YFL008W,0.2105,2.628,5.154
1924,YFL009W,0.163,2.4480000000000004,6.27
1925,YFL010C,,,
1926,YFL010W-A,,,
1927,YFL011W,,,
1928,YFL012W,,,
1929,YFL012W-A,,,
1930,YFL013C,0.1865,,8.076
1931,YFL013W-A,,,
1932,YFL014W,,,
1933,YFL015C,,,
1934,YFL015W-A,,,
1935,YFL016C,0.6482,5.568,38.004
1936,YFL017C,0.0618,,11.61
1937,YFL017W-A,,,
1938,YFL018C,0.0747,14.526,4.488
1939,YFL019C,,0.24,
1940,YFL020C,0.0029,0.288,0.7140000000000001
1941,YFL021C-A,,,
1942,YFL021W,0.0406,,2.382
1943,YFL022C,0.1802,23.01,10.734
1944,YFL023W,0.2921,,11.004000000000001
1945,YFL024C,,,
1946,YFL025C,0.3368,,9.815999999999999
1947,YFL026W,0.492,3.5999999999999996,34.193999999999996
1948,YFL027C,,,
1949,YFL028C,0.0653,12.936,6.762
1950,YFL029C,0.0528,,4.295999999999999
1951,YFL030W,,,
1952,YFL031C-A,,,
1953,YFL031W,0.6761,,62.85600000000001
1954,YFL032W,0.0461,,12.966
1955,YFL033C,,,
1956,YFL034C-A,,59.052,
1957,YFL034C-B,0.0778,,7.164000000000001
1958,YFL034W,0.0914,,2.556
1959,YFL036W,0.3959,,8.79
1960,YFL037W,0.0956,18.419999999999998,6.264
1961,YFL038C,0.1352,11.136,19.62
1962,YFL039C,0.2064,72.27,12.942
1963,YFL040W,,0.096,
1964,YFL041W,0.1607,,7.74
1965,YFL041W-A,,,
1966,YFL042C,,,
1967,YFL044C,0.1816,,18.054
1968,YFL045C,0.2025,42.372,23.856
1969,YFL046W,0.0346,,5.0040000000000004
1970,YFL047W,0.1378,,5.784
1971,YFL048C,0.1515,,10.200000000000001
1972,YFL049W,0.199,,9.57
1973,YFL050C,0.1904,,6.654
1974,YFL051C,0.0119,0.084,2.226
1975,YFL052W,0.0134,,0.864
1976,YFL053W,0.0153,,0.774
1977,YFL054C,,,
1978,YFL055W,0.0297,0.252,1.5959999999999999
1979,YFL056C,0.0448,,6.3180000000000005
1980,YFL057C,0.025,,4.914
1981,YFL058W,0.0076,,0.666
1982,YFL059W,0.0215,,2.1599999999999997
1983,YFL060C,0.019,,2.556
1984,YFL061W,0.0101,,1.344
1985,YFL062W,,,
1986,YFL063W,,,
1987,YFL064C,,,
1988,YFL065C,,,
1989,YFL066C,,,
1990,YFL067W,0.0139,,2.382
1991,YFL068W,,,
1992,YFR001W,0.0552,,8.094
1993,YFR002W,0.3154,,11.267999999999999
1994,YFR003C,0.0546,9.174000000000001,10.53
1995,YFR004W,0.1998,57.576,19.541999999999998
1996,YFR005C,0.0665,3.216,4.446
1997,YFR006W,0.1182,,6.617999999999999
1998,YFR007W,0.0619,,5.25
1999,YFR008W,0.0257,,3.48
2000,YFR009W,0.3998,,15.936
2001,YFR009W-A,,,
2002,YFR010W,0.181,3.576,10.866000000000001
2003,YFR010W-A,,,
2004,YFR011C,0.0368,,6.462000000000001
2005,YFR012W,,,
2006,YFR012W-A,,,
2007,YFR013W,0.1338,,5.094
2008,YFR014C,,,
2009,YFR015C,,,
2010,YFR016C,0.1927,,4.686
2011,YFR017C,0.1225,,18.785999999999998
2012,YFR018C,0.1127,,9.294
2013,YFR019W,0.3503,,4.614
2014,YFR020W,,,
2015,YFR021W,0.1422,,8.52
2016,YFR022W,0.0738,,3.018
2017,YFR023W,,,
2018,YFR024C-A,,12.984,
2019,YFR025C,0.0473,9.786,4.2299999999999995
2020,YFR026C,0.0156,0.7979999999999999,2.76
2021,YFR027W,0.0247,0.87,2.634
2022,YFR028C,0.2059,,11.196
2023,YFR029W,0.0677,2.97,2.9939999999999998
2024,YFR030W,0.0905,,2.6220000000000003
2025,YFR031C,0.2561,,6.564
2026,YFR031C-A,0.1652,106.89,16.32
2027,YFR032C,0.0431,0.102,4.458
2028,YFR032C-A,,,
2029,YFR032C-B,,,
2030,YFR033C,,39.804,
2031,YFR034C,0.2617,12.516,25.11
2032,YFR034W-A,,,
2033,YFR035C,,,
2034,YFR036W,0.039,3.684,9.395999999999999
2035,YFR036W-A,,,
2036,YFR037C,0.4786,,25.746
2037,YFR038W,0.1099,,3.864
2038,YFR039C,0.0826,,4.854
2039,YFR040W,0.2315,11.994,6.924
2040,YFR041C,,4.452,
2041,YFR042W,0.0156,,2.34
2042,YFR043C,0.0233,,2.934
2043,YFR044C,,8.274,
2044,YFR045W,0.0649,,5.832
2045,YFR046C,0.0336,,2.79
2046,YFR047C,0.0682,,6.918
2047,YFR048W,,2.1479999999999997,
2048,YFR049W,0.023,5.304,5.568
2049,YFR050C,0.1827,15.947999999999999,20.556
2050,YFR051C,0.1942,17.196,10.656
2051,YFR052C-A,,,
2052,YFR052W,0.1304,,14.238000000000001
2053,YFR053C,,,
2054,YFR054C,0.0105,0.15,1.632
2055,YFR055W,,14.346,
2056,YFR056C,,0.162,
2057,YFR057W,,,
2058,YGL001C,,16.817999999999998,
2059,YGL002W,0.0506,12.168000000000001,7.002
2060,YGL003C,,2.286,
2061,YGL004C,0.067,,4.811999999999999
2062,YGL005C,,,
2063,YGL006W,0.1584,6.414,4.050000000000001
2064,YGL006W-A,,,
2065,YGL007C-A,,,
2066,YGL007W,,0.102,
2067,YGL008C,,157.872,
2068,YGL009C,,22.32,
2069,YGL010W,0.0168,0.7320000000000001,2.892
2070,YGL011C,0.1242,26.73,14.742
2071,YGL012W,0.0693,46.158,4.392
2072,YGL013C,0.1438,3.018,4.038
2073,YGL014C-A,,,
2074,YGL014W,,,
2075,YGL015C,,1.5,
2076,YGL016W,,2.196,
2077,YGL017W,0.0952,4.2780000000000005,5.67
2078,YGL018C,0.0367,0.6120000000000001,5.958
2079,YGL019W,0.1046,2.892,11.256
2080,YGL020C,0.039,,4.968
2081,YGL021W,,,
2082,YGL022W,0.4088,11.538,17.064
2083,YGL023C,0.1196,,5.646
2084,YGL024W,,,
2085,YGL025C,0.1227,3.93,9.252
2086,YGL026C,0.1465,7.548,6.21
2087,YGL027C,,3.81,
2088,YGL028C,1.0638,46.446,58.812
2089,YGL029W,,9.252,
2090,YGL030W,0.3172,322.62,52.188
2091,YGL031C,0.2423,,46.692
2092,YGL032C,,7.6979999999999995,
2093,YGL033W,,,
2094,YGL034C,,,
2095,YGL035C,0.1638,1.506,9.738
2096,YGL036W,,1.4040000000000001,
2097,YGL037C,0.1908,,26.424
2098,YGL038C,0.1954,2.322,12.192
2099,YGL039W,,8.382,
2100,YGL040C,,12.888,
2101,YGL041C,,,
2102,YGL041C-B,,,
2103,YGL041W-A,,,
2104,YGL042C,0.0343,,10.110000000000001
2105,YGL043W,,,
2106,YGL044C,,7.835999999999999,
2107,YGL045W,,1.308,
2108,YGL047W,0.051,3.804,7.542000000000001
2109,YGL048C,,36.03,
2110,YGL049C,0.2207,3.6540000000000004,7.242
2111,YGL050W,,2.3160000000000003,
2112,YGL051W,0.0227,,2.91
2113,YGL052W,0.0172,,5.076
2114,YGL053W,0.039,,4.926
2115,YGL054C,,43.692,
2116,YGL055W,1.1096,20.682000000000002,65.19
2117,YGL056C,0.2101,1.008,11.946
2118,YGL057C,0.0387,0.36600000000000005,4.038
2119,YGL058W,0.0883,5.6579999999999995,15.336
2120,YGL059W,,2.772,
2121,YGL060W,0.0571,3.7979999999999996,2.67
2122,YGL061C,0.0241,,2.922
2123,YGL062W,0.2849,,7.254
2124,YGL063C-A,,,
2125,YGL063W,,,
2126,YGL064C,0.1204,,6.432
2127,YGL065C,0.0723,,4.308
2128,YGL066W,0.1652,2.064,7.536
2129,YGL067W,,7.308000000000001,
2130,YGL068W,0.1394,14.106,21.48
2131,YGL069C,0.1013,,19.656
2132,YGL070C,0.0409,,10.008000000000001
2133,YGL071W,0.2699,6.0600000000000005,11.724
2134,YGL072C,0.0644,,16.146
2135,YGL073W,0.3148,,11.328
2136,YGL074C,0.0267,,7.368
2137,YGL075C,0.0475,,3.678
2138,YGL076C,1.0058,,54.498
2139,YGL077C,0.1254,4.2780000000000005,6.672
2140,YGL078C,0.2403,18.936,13.770000000000001
2141,YGL079W,0.0547,3.516,7.5
2142,YGL080W,0.0231,6.005999999999999,5.292
2143,YGL081W,,,
2144,YGL082W,,12.144,
2145,YGL083W,0.1385,4.458,5.159999999999999
2146,YGL084C,0.1166,7.188000000000001,6.234
2147,YGL085W,0.043,0.42,4.6979999999999995
2148,YGL086W,0.1294,2.088,5.178
2149,YGL087C,0.0581,4.98,10.494
2150,YGL088W,0.0777,,19.157999999999998
2151,YGL089C,,0.192,
2152,YGL090W,0.0903,3.1919999999999997,6.42
2153,YGL091C,0.0853,3.81,7.788
2154,YGL092W,0.4963,2.034,11.298
2155,YGL093W,0.1748,,5.718
2156,YGL094C,0.1279,1.92,3.4379999999999997
2157,YGL095C,0.1459,7.6979999999999995,7.577999999999999
2158,YGL096W,0.0666,2.244,7.218
2159,YGL097W,0.1716,16.236,10.661999999999999
2160,YGL098W,0.0772,4.26,9.432
2161,YGL099W,0.1834,8.148,8.586
2162,YGL100W,,55.614,
2163,YGL101W,0.1216,4.656000000000001,16.913999999999998
2164,YGL102C,0.796,,167.388
2165,YGL103W,1.0411,,97.602
2166,YGL104C,,,
2167,YGL105W,0.1083,59.202,8.622
2168,YGL106W,0.0754,28.224,15.108
2169,YGL107C,0.1172,0.57,5.436
2170,YGL108C,0.0842,,17.952
2171,YGL109W,0.0376,,10.482
2172,YGL110C,0.1675,1.494,8.046
2173,YGL111W,0.1421,3.324,9.192
2174,YGL112C,0.1001,12.120000000000001,5.814
2175,YGL113W,0.1118,0.834,5.016
2176,YGL114W,0.168,26.88,6.948
2177,YGL115W,,13.014000000000001,
2178,YGL116W,,1.5959999999999999,
2179,YGL117W,0.0473,4.536,5.346
2180,YGL118C,,0.102,
2181,YGL119W,0.0482,1.494,2.88
2182,YGL120C,,10.728,
2183,YGL121C,,6.588,
2184,YGL122C,0.2331,,13.302
2185,YGL123C-A,,,
2186,YGL123W,0.1582,360.88800000000003,18.636
2187,YGL124C,0.1169,1.26,5.436
2188,YGL125W,0.0861,,4.295999999999999
2189,YGL126W,,2.916,
2190,YGL127C,0.0317,4.704,7.452
2191,YGL128C,,1.4640000000000002,
2192,YGL129C,0.0853,,5.238
2193,YGL130W,0.0855,12.222,5.58
2194,YGL131C,0.1862,,3.9779999999999998
2195,YGL132W,0.0426,,11.442
2196,YGL133W,0.3869,,9.18
2197,YGL134W,0.0797,2.898,5.513999999999999
2198,YGL135W,0.0875,24.156000000000002,12.054
2199,YGL136C,0.0463,4.734,4.332
2200,YGL137W,,3.54,
2201,YGL138C,,,
2202,YGL139W,0.1664,3.456,6.222
2203,YGL140C,0.2056,,5.058
2204,YGL141W,0.181,,5.964
2205,YGL142C,0.0547,1.71,2.658
2206,YGL143C,0.1247,1.344,9.042
2207,YGL144C,0.1135,0.9779999999999999,4.968
2208,YGL145W,0.1138,,4.8660000000000005
2209,YGL146C,0.0488,0.216,4.6979999999999995
2210,YGL147C,0.314,211.57199999999997,49.146
2211,YGL148W,0.0779,34.698,6.204000000000001
2212,YGL149W,0.0233,0.42,6.8759999999999994
2213,YGL150C,0.3944,3.7979999999999996,7.943999999999999
2214,YGL151W,0.1944,1.566,5.148
2215,YGL152C,0.0436,,5.796
2216,YGL153W,,,
2217,YGL154C,,,
2218,YGL155W,0.0479,,3.8160000000000003
2219,YGL156W,0.0737,0.87,2.04
2220,YGL157W,,9.012,
2221,YGL158W,,,
2222,YGL159W,,4.098,
2223,YGL160W,,4.061999999999999,
2224,YGL161C,0.0687,14.922,6.636
2225,YGL162W,,2.742,
2226,YGL163C,,3.5999999999999996,
2227,YGL164C,0.0574,,3.9119999999999995
2228,YGL165C,0.0615,,9.575999999999999
2229,YGL166W,0.0729,,9.696
2230,YGL167C,0.2558,,8.07
2231,YGL168W,0.0374,,10.14
2232,YGL169W,0.0814,2.1599999999999997,5.724
2233,YGL170C,,,
2234,YGL171W,0.2354,,12.51
2235,YGL172W,,12.108,
2236,YGL173C,0.2507,13.02,4.92
2237,YGL174W,0.0661,4.11,7.4399999999999995
2238,YGL175C,0.0347,0.144,3.012
2239,YGL176C,0.174,1.374,9.408
2240,YGL177W,0.0257,,6.66
2241,YGL178W,0.1091,,3.0540000000000003
2242,YGL179C,,2.118,
2243,YGL180W,0.0885,,2.9579999999999997
2244,YGL181W,,6.168,
2245,YGL182C,,,
2246,YGL183C,,0.156,
2247,YGL184C,,,
2248,YGL185C,0.0612,,4.836
2249,YGL186C,0.1564,3.9000000000000004,8.094
2250,YGL187C,0.0913,10.968,17.592000000000002
2251,YGL188C,,0.102,
2252,YGL188C-A,,,
2253,YGL189C,0.1318,105.84,33.053999999999995
2254,YGL190C,0.3438,6.624,19.584000000000003
2255,YGL191W,0.0324,6.845999999999999,7.4879999999999995
2256,YGL192W,0.1272,1.05,6.353999999999999
2257,YGL193C,0.0371,,10.728
2258,YGL194C,0.1109,,7.35
2259,YGL194C-A,,,
2260,YGL195W,,,
2261,YGL196W,0.1819,3.726,12.732
2262,YGL197W,,0.57,
2263,YGL198W,0.1211,13.83,15.42
2264,YGL199C,0.2098,,40.176
2265,YGL200C,0.0905,45.498,13.332
2266,YGL201C,0.1242,1.23,3.66
2267,YGL202W,0.131,5.928,7.848
2268,YGL203C,0.1626,3.8819999999999997,6.684
2269,YGL204C,,0.162,
2270,YGL205W,0.0478,0.09,1.914
2271,YGL206C,,2.4,
2272,YGL207W,0.3056,2.46,8.85
2273,YGL208W,0.0715,,5.159999999999999
2274,YGL209W,,,
2275,YGL210W,0.0617,4.9079999999999995,8.31
2276,YGL211W,0.256,3.324,21.354
2277,YGL212W,0.1395,,13.212
2278,YGL213C,,,
2279,YGL214W,,,
2280,YGL215W,0.1284,3.99,8.508000000000001
2281,YGL216W,0.2879,,10.722
2282,YGL217C,0.0267,,7.038
2283,YGL218W,,,
2284,YGL219C,0.0745,8.208,4.8660000000000005
2285,YGL220W,0.0636,14.658,15.816
2286,YGL221C,0.1201,4.218,12.479999999999999
2287,YGL222C,0.0795,0.114,13.578
2288,YGL223C,0.0476,6.7379999999999995,3.42
2289,YGL224C,,5.045999999999999,
2290,YGL225W,0.0528,8.31,4.692
2291,YGL226C-A,,5.256,
2292,YGL226W,0.055,3.312,13.338
2293,YGL227W,0.087,4.667999999999999,2.724
2294,YGL228W,0.157,,8.154
2295,YGL229C,0.0604,1.134,2.214
2296,YGL230C,0.0752,0.09,15.276
2297,YGL231C,0.0332,,5.22
2298,YGL232W,,,
2299,YGL233W,0.1374,3.0599999999999996,4.524
2300,YGL234W,,11.76,
2301,YGL235W,0.0365,,6.138
2302,YGL236C,0.1197,,5.364
2303,YGL237C,0.0328,0.258,3.696
2304,YGL238W,,6.612,
2305,YGL239C,0.0386,,11.052
2306,YGL240W,0.0632,,7.565999999999999
2307,YGL241W,,,
2308,YGL242C,0.0499,6.216,8.238
2309,YGL243W,0.0304,8.370000000000001,2.274
2310,YGL244W,0.1347,10.260000000000002,7.2299999999999995
2311,YGL245W,0.4338,45.096000000000004,18.36
2312,YGL246C,0.0704,,5.454
2313,YGL247W,0.0246,,3.738
2314,YGL248W,0.0434,18.534,3.516
2315,YGL249W,,,
2316,YGL250W,0.0206,,2.5620000000000003
2317,YGL251C,0.1082,1.302,2.6220000000000003
2318,YGL252C,0.1542,1.6740000000000002,7.853999999999999
2319,YGL253W,0.7527,32.106,46.397999999999996
2320,YGL254W,0.0946,1.722,9.468
2321,YGL255W,,,
2322,YGL256W,0.1753,,13.74
2323,YGL257C,0.0892,3.3480000000000003,4.787999999999999
2324,YGL258W,0.0073,0.738,1.062
2325,YGL258W-A,,,
2326,YGL259W,,,
2327,YGL260W,,,
2328,YGL261C,0.0075,,1.854
2329,YGL262W,,,
2330,YGL263W,,0.534,
2331,YGR001C,,11.91,
2332,YGR002C,0.1093,,6.8759999999999994
2333,YGR003W,0.106,,4.272
2334,YGR004W,0.0613,,3.9779999999999998
2335,YGR005C,,,
2336,YGR006W,0.059,0.288,7.026
2337,YGR007W,,7.212,
2338,YGR008C,0.0319,10.584,11.31
2339,YGR009C,0.1622,10.104,7.4639999999999995
2340,YGR010W,,,
2341,YGR011W,,,
2342,YGR012W,0.0689,7.932,5.256
2343,YGR013W,0.1991,,9.623999999999999
2344,YGR014W,0.6679,8.628,15.336
2345,YGR015C,,1.206,
2346,YGR016W,0.0142,1.0139999999999998,2.238
2347,YGR017W,,,
2348,YGR018C,0.0903,,24.708
2349,YGR019W,,19.746,
2350,YGR020C,0.021,12.36,5.31
2351,YGR021W,0.1738,,17.945999999999998
2352,YGR022C,0.0291,,7.973999999999999
2353,YGR023W,0.0443,0.912,2.412
2354,YGR024C,0.0412,11.082,5.202
2355,YGR025W,0.0175,,5.22
2356,YGR026W,0.0369,7.638,3.9719999999999995
2357,YGR027C,0.0805,166.554,22.236
2358,YGR028W,0.0562,6.84,4.65
2359,YGR029W,0.0611,,8.436
2360,YGR030C,,,
2361,YGR031C-A,,,
2362,YGR031W,,,
2363,YGR032W,0.2149,2.088,3.402
2364,YGR033C,0.0564,2.8560000000000003,7.062
2365,YGR034W,0.458,424.086,47.934000000000005
2366,YGR035C,,7.392,
2367,YGR035W-A,,,
2368,YGR036C,0.043,0.216,5.388
2369,YGR037C,0.091,,31.157999999999998
2370,YGR038W,0.0788,4.667999999999999,10.614
2371,YGR039W,,1.4640000000000002,
2372,YGR040W,0.1353,,11.01
2373,YGR041W,0.1674,4.476,9.174000000000001
2374,YGR042W,0.052,1.41,5.742
2375,YGR043C,,0.48,
2376,YGR044C,,10.926,
2377,YGR045C,,,
2378,YGR046W,,9.984,
2379,YGR047C,,2.238,
2380,YGR048W,,10.542,
2381,YGR049W,0.0322,2.184,5.148
2382,YGR050C,0.0501,,12.654
2383,YGR051C,,0.18,
2384,YGR052W,,,
2385,YGR053C,,,
2386,YGR054W,0.4214,21.018,19.674000000000003
2387,YGR055W,0.1643,21.78,8.574
2388,YGR056W,,12.624,
2389,YGR057C,0.0268,,3.312
2390,YGR058W,0.034,,3.0420000000000003
2391,YGR059W,,0.078,
2392,YGR060W,,,
2393,YGR061C,,,
2394,YGR062C,,2.61,
2395,YGR063C,0.0745,5.676,21.768
2396,YGR064W,,,
2397,YGR065C,0.1052,,5.316
2398,YGR066C,,,
2399,YGR067C,0.0148,0.318,0.5579999999999999
2400,YGR068C,0.175,0.642,8.946000000000002
2401,YGR068W-A,,,
2402,YGR069W,,,
2403,YGR070W,0.0671,1.4280000000000002,1.74
2404,YGR071C,,1.6199999999999999,
2405,YGR072W,,2.286,
2406,YGR073C,0.0418,,10.128
2407,YGR074W,0.0733,,14.988
2408,YGR075C,0.0378,,4.68
2409,YGR076C,0.0297,15.018,5.652
2410,YGR077C,0.1146,6.462000000000001,5.8260000000000005
2411,YGR078C,0.1215,7.014,18.264
2412,YGR079W,,2.8859999999999997,
2413,YGR080W,0.0432,27.816000000000003,3.894
2414,YGR081C,0.0858,11.292,12.209999999999999
2415,YGR082W,0.0855,11.742,13.968
2416,YGR083C,0.2518,14.081999999999999,11.592
2417,YGR084C,0.0954,,8.430000000000001
2418,YGR085C,0.1499,,25.752000000000002
2419,YGR086C,0.1155,42.252,10.206
2420,YGR087C,,0.018,
2421,YGR088W,0.0677,,3.606
2422,YGR089W,,2.652,
2423,YGR090W,0.3408,9.024000000000001,8.261999999999999
2424,YGR091W,0.1077,1.1280000000000001,6.528
2425,YGR092W,0.1907,1.6199999999999999,9.99
2426,YGR093W,0.101,0.8999999999999999,5.970000000000001
2427,YGR094W,,18.312,
2428,YGR095C,0.0285,,3.8160000000000003
2429,YGR096W,0.0417,1.068,3.9719999999999995
